,urlid,label
286,2457,0
287,5362,0
288,7722,0
289,7940,1
290,6104,1
291,8853,0
292,5813,1
293,4769,0
294,2544,0
295,6379,0
296,5262,0
297,9885,0
298,10081,0
299,1315,0
300,3388,0
301,3473,1
302,2117,0
303,9411,0
304,9379,1
305,4236,0
306,2049,0
307,4786,0
308,1604,0
309,7659,0
310,8152,0
311,5417,0
312,160,0
313,6826,1
314,1815,0
315,3647,1
316,5605,0
317,3526,1
318,3854,1
319,1053,0
320,2411,0
321,6015,0
322,2089,1
323,7745,1
324,6816,1
325,3934,0
326,6547,0
327,3758,1
328,7158,1
329,1584,0
330,2982,1
331,7679,1
332,5286,1
333,3776,1
334,1235,1
335,6294,1
336,1012,1
337,10318,0
338,7134,0
339,5180,1
340,2108,0
341,3639,0
342,6729,0
343,2472,0
344,10235,0
345,190,1
346,4713,1
347,6827,0
348,6108,1
349,1114,1
350,4848,0
351,606,0
352,1573,1
353,8546,0
354,5193,0
355,2936,0
356,5104,1
357,6712,1
358,3055,0
359,74,1
360,7726,1
361,9183,0
362,162,0
363,7288,0
364,8657,1
365,1295,0
366,8207,1
367,4433,1
368,590,1
369,10549,0
370,7749,1
371,405,1
372,10267,1
373,7133,0
374,7584,1
375,6616,1
376,1719,0
377,9761,1
378,5859,0
379,5662,0
380,1736,0
381,9333,0
382,1102,0
383,2790,1
384,6598,1
385,7995,1
386,4452,1
387,159,0
388,511,1
389,7006,1
390,1123,1
391,6073,0
392,7094,0
393,10008,0
394,7573,0
395,679,0
396,6809,0
397,1108,0
398,380,0
399,204,0
400,7075,0
401,2550,1
402,9785,0
403,5036,0
404,3129,0
405,6495,1
406,880,0
407,2360,0
408,7839,0
409,350,0
410,9151,1
411,6650,0
412,7208,1
413,5840,0
414,5997,0
415,2103,1
416,713,1
417,7771,0
418,10255,0
419,3944,1
420,4250,0
421,2833,0
422,3052,0
423,7855,1
424,4152,0
425,4445,1
426,10036,0
427,9727,0
428,2234,0
429,9632,1
430,626,0
431,1644,0
432,4859,1
433,3987,0
434,5884,1
435,4112,1
436,10392,0
437,2962,0
438,21,0
439,8524,1
440,2543,0
441,663,0
442,2748,1
443,3451,0
444,964,1
445,10560,1
446,2428,0
447,4520,0
448,7660,1
449,6583,0
450,10390,0
451,688,0
452,7957,1
453,3356,1
454,1766,0
455,9128,0
456,2340,0
457,9421,0
458,7712,0
459,8200,0
460,8762,0
461,6446,0
462,5194,0
463,960,0
464,779,1
465,3584,0
466,3011,0
467,2769,0
468,1392,0
469,7254,1
470,9084,1
471,9622,0
472,3665,0
473,1609,0
474,6130,0
475,10155,0
476,7826,1
477,8300,0
478,5038,0
479,7582,1
480,9561,0
481,7430,1
482,5045,1
483,10421,0
484,5675,0
485,4687,0
486,4944,1
487,5105,1
488,148,0
489,6371,0
490,8108,0
491,4354,0
492,6077,1
493,4292,0
494,10068,0
495,5821,0
496,1042,1
497,7715,0
498,9703,0
499,2761,0
500,7002,0
501,7313,0
502,9050,0
503,5518,0
504,10556,1
505,1078,0
506,9699,0
507,10445,1
508,8748,1
509,2960,0
510,4317,0
511,939,0
512,8423,0
513,5196,0
514,8151,0
515,7199,1
516,1574,0
517,8566,0
518,7389,0
519,1177,0
520,10282,1
521,10098,0
522,4512,0
523,4055,1
524,8431,1
525,4532,0
526,10450,0
527,5754,1
528,1882,1
529,1563,1
530,4871,1
531,8440,0
532,3253,1
533,8270,0
534,4610,0
535,9619,0
536,8786,0
537,2889,1
538,9781,0
539,5061,0
540,7059,1
541,2064,1
542,1587,1
543,1934,1
544,5516,0
545,9853,0
546,7867,1
547,1556,1
548,5495,0
549,4274,0
550,8177,0
551,9491,1
552,9813,0
553,2205,0
554,2710,0
555,2992,0
556,7998,0
557,6428,1
558,6638,0
559,3035,1
560,1578,0
561,1324,1
562,2316,1
563,9326,0
564,7359,1
565,7741,0
566,5143,0
567,8196,1
568,630,0
569,8481,1
570,8497,0
571,5409,1
572,5749,0
573,8219,1
574,9571,1
575,4886,1
576,5367,0
577,1185,0
578,8291,0
579,1590,0
580,7698,0
581,51,1
582,8784,0
583,3928,0
584,5987,0
585,7008,1
586,7482,1
587,9374,0
588,1296,0
589,10289,1
590,2986,0
591,4651,0
592,8594,0
593,7469,1
594,2871,0
595,1903,1
596,8571,1
597,4832,1
598,1242,0
599,7115,0
600,3599,0
601,2065,0
602,4529,0
603,763,0
604,6698,1
605,2002,1
606,2020,1
607,5229,0
608,8243,0
609,6936,1
610,9360,1
611,4360,0
612,7951,0
613,6701,0
614,7574,1
615,2426,0
616,1681,1
617,7135,0
618,3688,0
619,3872,0
620,558,0
621,2228,1
622,8170,0
623,7171,0
624,7756,0
625,3609,0
626,3985,0
627,1139,0
628,3453,1
629,7583,0
630,9788,1
631,10175,0
632,6059,0
633,104,0
634,10168,0
635,8902,1
636,5343,1
637,4239,0
638,6767,1
639,6269,0
640,6682,0
641,9558,0
642,2416,0
643,6592,0
644,6196,0
645,2751,1
646,3412,1
647,8302,1
648,1120,1
649,8005,0
650,6637,0
651,6440,0
652,6679,1
653,8039,1
654,5357,1
655,8844,1
656,2964,0
657,6040,0
658,7259,1
659,8974,1
660,7439,0
661,1045,0
662,7706,0
663,9724,0
664,3698,0
665,7339,1
666,1749,0
667,7257,0
668,2963,1
669,7775,0
670,10501,0
671,4258,1
672,7908,1
673,722,1
674,6519,1
675,6916,0
676,4456,1
677,2731,0
678,917,1
679,4107,0
680,7894,1
681,2540,0
682,8455,1
683,10406,1
684,8909,0
685,5489,0
686,306,1
687,3894,0
688,2735,0
689,4939,0
690,1551,1
691,777,1
692,2160,1
693,8599,1
694,2727,0
695,6362,0
696,1417,1
697,10343,0
698,4866,1
699,2682,0
700,9856,0
701,4498,0
702,7450,0
703,6899,0
704,5649,1
705,6086,0
706,1618,0
707,9926,0
708,2847,0
709,8099,0
710,5724,0
711,3358,0
712,8136,0
713,955,0
714,8819,0
715,5832,1
716,10413,1
717,6548,0
718,8407,0
719,10090,0
720,8564,0
721,808,1
722,5303,0
723,8913,1
724,9425,1
725,9543,1
726,1219,1
727,9575,1
728,4019,1
729,6223,1
730,9588,0
731,4739,0
732,10492,1
733,2017,0
734,5524,1
735,7449,1
736,5734,0
737,5456,0
738,797,1
739,5525,0
740,8265,0
741,1981,1
742,8977,1
743,6241,1
744,6021,0
745,7720,0
746,8632,0
747,6705,0
748,2476,1
749,3510,0
750,8887,1
751,10115,0
752,9061,0
753,5570,0
754,2763,1
755,1437,1
756,3448,0
757,3529,0
758,3156,0
759,4604,1
760,6776,1
761,10227,0
762,1545,0
763,10487,0
764,993,0
765,1161,1
766,7975,1
767,1591,0
768,7804,1
769,5048,0
770,10454,1
771,3567,0
772,5886,0
773,9937,0
774,3931,1
775,9706,1
776,10193,0
777,5569,1
778,9747,0
779,2217,1
780,5936,0
781,3885,1
782,1086,0
783,1799,0
784,9763,1
785,3299,0
786,8268,1
787,473,0
788,337,1
789,9381,1
790,6426,0
791,1210,0
792,4986,0
793,8285,0
794,2024,1
795,245,1
796,4807,0
797,2208,1
798,9835,0
799,8963,1
800,9946,0
801,5230,0
802,2788,0
803,674,1
804,1629,1
805,2300,0
806,169,0
807,3575,1
808,6910,0
809,1479,0
810,10498,1
811,8062,1
812,9672,0
813,9467,0
814,6763,1
815,8508,0
816,1034,0
817,3756,0
818,9263,0
819,8141,0
820,532,1
821,7022,0
822,4024,0
823,3298,0
824,5641,0
825,10455,0
826,5206,1
827,7005,0
828,8971,0
829,8358,1
830,257,0
831,78,1
832,6333,1
833,7969,0
834,2505,1
835,2004,1
836,3748,1
837,5668,0
838,365,0
839,9651,0
840,2324,0
841,3902,0
842,9294,0
843,5377,0
844,2817,1
845,7670,0
846,4755,1
847,255,1
848,2714,0
849,2922,0
850,5517,1
851,5157,1
852,64,0
853,5300,0
854,451,0
855,3941,1
856,326,0
857,3757,0
858,8798,1
859,2315,1
860,6755,1
861,2916,1
862,7406,0
863,3703,1
864,5403,0
865,622,0
866,9,0
867,5848,1
868,8670,0
869,1156,0
870,10179,0
871,2028,1
872,3924,1
873,620,0
874,1963,1
875,4537,0
876,8970,0
877,3024,1
878,6140,1
879,1866,0
880,4442,1
881,2312,0
882,6749,0
883,459,1
884,1516,1
885,8817,0
886,4912,0
887,2076,0
888,10023,1
889,7684,0
890,3531,0
891,6209,1
892,10508,1
893,8678,1
894,3541,0
895,1208,1
896,4090,0
897,1097,0
898,5099,1
899,2816,0
900,4291,0
901,1409,1
902,6401,0
903,4617,1
904,6111,0
905,6172,1
906,10357,0
907,8465,1
908,3867,0
909,9495,1
910,4348,0
911,7879,1
912,9273,1
913,3252,0
914,9167,0
915,2573,0
916,7395,1
917,9046,0
918,1526,0
919,9339,0
920,10301,1
921,7588,1
922,1104,0
923,1310,0
924,6631,0
925,10475,0
926,9090,0
927,1528,0
928,1657,1
929,1175,0
930,1895,0
931,3864,0
932,4700,0
933,3572,0
934,10507,0
935,269,1
936,5744,1
937,1687,0
938,3020,0
939,4974,1
940,5119,0
941,1916,1
942,6687,1
943,2197,1
944,8641,0
945,10073,1
946,1967,0
947,4999,0
948,9816,0
949,734,1
950,9665,0
951,5092,1
952,2591,1
953,9877,1
954,4601,1
955,7734,0
956,7185,1
957,6405,0
958,7003,0
959,928,0
960,6490,0
961,1586,0
962,10139,1
963,1192,0
964,10526,0
965,5544,1
966,8779,0
967,4497,0
968,3059,1
969,2181,0
970,2303,0
971,1190,1
972,1468,0
973,8771,0
974,8997,1
975,6365,1
976,10355,0
977,3478,0
978,3764,0
979,3542,0
980,4941,0
981,1840,1
982,463,0
983,7407,1
984,7711,1
985,6044,0
986,3750,1
987,10114,0
988,1332,1
989,425,1
990,3479,1
991,1979,1
992,2994,1
993,207,0
994,5820,1
995,9187,0
996,5423,1
997,2743,0
998,2902,1
999,9126,1
1000,7903,0
1001,4100,1
1002,3578,0
1003,6061,0
1004,5081,0
1005,4575,0
1006,6695,1
1007,5960,0
1008,10186,0
1009,6795,0
1010,10022,0
1011,5841,1
1012,7481,0
1013,9331,0
1014,400,1
1015,6907,0
1016,10393,1
1017,3709,1
1018,4726,1
1019,3007,0
1020,4723,0
1021,597,0
1022,1810,1
1023,4131,0
1024,4697,1
1025,8838,1
1026,5956,0
1027,4196,1
1028,63,1
1029,1714,0
1030,904,0
1031,9715,1
1032,4,0
1033,5462,1
1034,259,0
1035,5418,0
1036,6849,0
1037,9893,0
1038,10003,1
1039,4976,0
1040,7611,1
1041,900,0
1042,3746,0
1043,3893,0
1044,2966,0
1045,9667,1
1046,9734,0
1047,8123,0
1048,8470,1
1049,4058,0
1050,4623,1
1051,3782,0
1052,7966,0
1053,6003,1
1054,2168,0
1055,422,0
1056,6381,0
1057,1136,1
1058,3443,1
1059,2214,1
1060,9973,1
1061,1593,0
1062,5474,1
1063,812,1
1064,4703,0
1065,4294,1
1066,10021,0
1067,395,0
1068,3237,1
1069,9099,0
1070,2401,0
1071,10371,0
1072,3420,1
1073,3460,1
1074,9088,0
1075,5995,1
1076,3084,1
1077,3595,0
1078,9524,1
1079,167,0
1080,9743,1
1081,6109,0
1082,433,0
1083,6292,0
1084,8125,0
1085,4035,0
1086,2929,1
1087,8810,1
1088,4403,0
1089,3925,1
1090,1290,1
1091,3689,1
1092,6709,0
1093,8021,1
1094,6237,1
1095,1453,0
1096,7340,0
1097,6078,1
1098,2369,0
1099,1781,0
1100,3830,1
1101,7625,0
1102,8150,0
1103,1680,0
1104,7077,0
1105,3360,1
1106,7927,1
1107,244,0
1108,8107,1
1109,820,1
1110,5915,1
1111,924,0
1112,9207,1
1113,4077,1
1114,6052,0
1115,508,1
1116,8105,0
1117,4405,0
1118,7558,0
1119,6094,1
1120,484,1
1121,8927,0
1122,310,0
1123,8075,0
1124,1094,0
1125,3211,0
1126,1700,1
1127,4816,0
1128,9354,1
1129,8845,1
1130,7530,1
1131,1520,0
1132,1087,1
1133,5786,1
1134,6847,1
1135,999,0
1136,5308,1
1137,6569,1
1138,10200,0
1139,5868,1
1140,1757,0
1141,4625,1
1142,2955,1
1143,6187,1
1144,9931,1
1145,4883,0
1146,2488,1
1147,156,1
1148,2820,0
1149,1311,0
1150,1517,0
1151,3640,0
1152,5763,0
1153,6689,1
1154,1193,0
1155,8217,1
1156,10327,1
1157,5042,1
1158,6903,0
1159,2068,1
1160,7614,0
1161,8842,0
1162,2445,0
1163,10276,0
1164,4931,0
1165,6842,1
1166,5927,0
1167,6207,0
1168,4539,0
1169,8721,0
1170,3618,0
1171,2580,0
1172,5321,1
1173,3181,0
1174,4742,0
1175,3340,1
1176,8310,1
1177,3948,0
1178,2126,1
1179,10436,0
1180,9635,1
1181,9022,0
1182,8576,0
1183,2522,0
1184,7341,1
1185,7377,1
1186,7636,0
1187,2536,1
1188,2706,1
1189,4814,0
1190,6032,0
1191,2630,1
1192,1857,0
1193,5412,1
1194,1957,0
1195,9805,0
1196,9256,0
1197,1055,1
1198,8439,1
1199,317,0
1200,6126,0
1201,9970,0
1202,6008,0
1203,2811,0
1204,10214,0
1205,10337,0
1206,6563,0
1207,5611,1
1208,6358,0
1209,8446,0
1210,974,0
1211,4839,0
1212,4806,1
1213,4597,0
1214,4649,0
1215,7744,1
1216,5826,0
1217,6118,0
1218,6785,0
1219,301,1
1220,3192,1
1221,9854,1
1222,9227,1
1223,4768,0
1224,2961,0
1225,4564,0
1226,2484,0
1227,1606,0
1228,2864,0
1229,2884,0
1230,2753,0
1231,4366,1
1232,2470,0
1233,6369,0
1234,2754,0
1235,2501,0
1236,8890,0
1237,2093,1
1238,4937,0
1239,2850,0
1240,3706,0
1241,6645,1
1242,5799,1
1243,4229,1
1244,4900,0
1245,7883,0
1246,4629,1
1247,6459,1
1248,10381,1
1249,220,1
1250,761,0
1251,4264,1
1252,6633,1
1253,1424,1
1254,7017,0
1255,6901,0
1256,7126,0
1257,881,0
1258,6382,0
1259,7502,0
1260,1911,1
1261,3076,0
1262,9281,0
1263,1534,1
1264,8378,0
1265,4717,1
1266,7012,1
1267,9028,1
1268,5407,1
1269,274,1
1270,9465,1
1271,5164,0
1272,937,0
1273,5264,1
1274,8051,0
1275,10304,0
1276,2403,0
1277,1697,1
1278,8142,0
1279,3734,0
1280,8487,0
1281,5123,1
1282,8726,0
1283,2336,1
1284,7376,0
1285,2793,0
1286,1998,0
1287,319,1
1288,6783,0
1289,6911,1
1290,3078,1
1291,3310,1
1292,4790,1
1293,2712,0
1294,2968,1
1295,7777,1
1296,10442,0
1297,1654,0
1298,10438,0
1299,4509,0
1300,3963,0
1301,5043,0
1302,5421,1
1303,6465,0
1304,8034,1
1305,806,1
1306,1090,0
1307,1566,1
1308,10187,0
1309,2634,1
1310,569,1
1311,135,0
1312,3732,1
1313,6247,1
1314,10466,0
1315,8429,0
1316,6725,0
1317,6128,0
1318,8496,0
1319,2433,1
1320,5552,1
1321,7122,0
1322,376,0
1323,796,0
1324,6121,0
1325,8960,1
1326,5686,0
1327,2213,1
1328,6602,1
1329,3357,1
1330,1997,0
1331,691,0
1332,4370,1
1333,9660,1
1334,7189,0
1335,6660,0
1336,2074,1
1337,5375,1
1338,1816,0
1339,9802,1
1340,7654,1
1341,3784,1
1342,9604,1
1343,6397,1
1344,7125,1
1345,1460,1
1346,5718,1
1347,5452,1
1348,7064,1
1349,8272,1
1350,3620,1
1351,2772,0
1352,5150,0
1353,125,0
1354,1005,0
1355,616,0
1356,9056,0
1357,3972,0
1358,746,0
1359,10286,1
1360,723,1
1361,1283,1
1362,8009,1
1363,8509,0
1364,8220,1
1365,7393,1
1366,8499,0
1367,3789,0
1368,9658,1
1369,8171,0
1370,1985,0
1371,733,0
1372,6706,0
1373,6282,0
1374,7243,0
1375,3995,1
1376,4375,1
1377,1647,0
1378,9306,1
1379,9272,0
1380,9464,0
1381,5340,0
1382,5475,1
1383,4911,1
1384,9315,1
1385,811,0
1386,6395,0
1387,3229,0
1388,2250,1
1389,8433,1
1390,10428,0
1391,10461,0
1392,8408,1
1393,3945,1
1394,863,1
1395,4683,0
1396,1162,1
1397,9132,0
1398,1076,0
1399,7236,0
1400,3218,0
1401,6866,0
1402,4997,1
1403,9121,0
1404,8696,0
1405,3313,0
1406,1421,0
1407,80,0
1408,8163,0
1409,4583,1
1410,4053,0
1411,8693,0
1412,4139,0
1413,6976,0
1414,3549,1
1415,5534,0
1416,1638,1
1417,6375,1
1418,1008,1
1419,9120,1
1420,8071,1
1421,3266,1
1422,10482,1
1423,5288,0
1424,6302,0
1425,2183,0
1426,9199,0
1427,5441,0
1428,4418,0
1429,7287,1
1430,1532,1
1431,2978,0
1432,1230,0
1433,6423,1
1434,9643,0
1435,5142,0
1436,9368,1
1437,6132,1
1438,9031,1
1439,4767,1
1440,844,0
1441,10296,0
1442,9045,0
1443,10469,0
1444,9223,0
1445,9340,0
1446,1226,0
1447,686,0
1448,4037,1
1449,7620,0
1450,9322,1
1451,2943,0
1452,6549,0
1453,8124,0
1454,1803,1
1455,8025,0
1456,368,0
1457,3660,0
1458,4943,0
1459,9143,0
1460,958,1
1461,4272,0
1462,200,0
1463,7314,1
1464,7827,0
1465,252,0
1466,2242,1
1467,2804,0
1468,8802,0
1469,7645,1
1470,7228,1
1471,9200,0
1472,4738,1
1473,4513,1
1474,7999,0
1475,3938,0
1476,8127,1
1477,9265,0
1478,7353,1
1479,4772,1
1480,4461,0
1481,1335,0
1482,9018,1
1483,10460,1
1484,7956,0
1485,1238,0
1486,2552,1
1487,6517,1
1488,5925,1
1489,7413,0
1490,3728,0
1491,1103,1
1492,3704,1
1493,8413,1
1494,4533,1
1495,5449,1
1496,7306,0
1497,1401,1
1498,7365,1
1499,8363,0
1500,3656,1
1501,5683,1
1502,1940,0
1503,8674,0
1504,6745,0
1505,4431,1
1506,2263,1
1507,7506,1
1508,4059,1
1509,4588,0
1510,8692,1
1511,7258,1
1512,5448,1
1513,8865,0
1514,1119,0
1515,7642,1
1516,9981,1
1517,181,1
1518,7528,1
1519,9086,1
1520,4963,0
1521,5292,0
1522,1254,0
1523,2125,1
1524,5601,1
1525,2758,1
1526,1922,0
1527,5440,0
1528,3001,1
1529,4011,0
1530,8604,1
1531,2779,0
1532,1568,0
1533,10123,1
1534,9053,1
1535,8028,1
1536,82,1
1537,2845,1
1538,10221,1
1539,8598,1
1540,5011,1
1541,7401,0
1542,8687,0
1543,8767,1
1544,10046,0
1545,1920,0
1546,4364,1
1547,9395,1
1548,3602,0
1549,9038,0
1550,7786,0
1551,5106,1
1552,9337,0
1553,1575,0
1554,10291,0
1555,2965,1
1556,1478,0
1557,3625,0
1558,7329,1
1559,4116,0
1560,9136,0
1561,6870,1
1562,4073,1
1563,7863,0
1564,7437,0
1565,278,1
1566,1977,0
1567,8570,1
1568,6800,0
1569,8964,0
1570,7534,1
1571,6539,1
1572,645,0
1573,8223,0
1574,610,0
1575,1512,1
1576,8340,1
1577,4524,0
1578,7465,0
1579,6313,0
1580,1873,0
1581,1015,1
1582,444,0
1583,4967,1
1584,8988,1
1585,3199,1
1586,8020,1
1587,6103,0
1588,362,0
1589,7325,1
1590,5730,0
1591,10448,1
1592,1452,0
1593,6669,1
1594,7892,0
1595,7859,1
1596,5866,1
1597,2970,0
1598,9609,0
1599,893,1
1600,4176,1
1601,4280,0
1602,3970,0
1603,4516,0
1604,7503,0
1605,7955,1
1606,9852,1
1607,8380,1
1608,9284,1
1609,10386,0
1610,4004,0
1611,5328,0
1612,9274,1
1613,4646,0
1614,396,1
1615,5513,0
1616,4117,0
1617,3751,0
1618,9767,0
1619,1071,1
1620,7812,1
1621,5059,0
1622,2667,0
1623,9304,0
1624,10385,0
1625,7930,0
1626,5225,0
1627,9839,0
1628,2831,0
1629,2387,0
1630,3433,1
1631,5101,1
1632,6357,1
1633,5476,0
1634,3807,1
1635,10232,0
1636,1508,1
1637,6993,1
1638,5505,0
1639,6009,0
1640,5301,1
1641,6766,0
1642,2248,1
1643,8572,0
1644,852,0
1645,7871,1
1646,6926,0
1647,10220,1
1648,9007,1
1649,6990,1
1650,2012,1
1651,5645,0
1652,9091,1
1653,3797,0
1654,7201,0
1655,672,1
1656,1257,1
1657,2010,0
1658,8222,1
1659,9636,0
1660,2746,1
1661,2919,1
1662,5231,0
1663,5625,0
1664,10254,0
1665,2651,0
1666,1740,1
1667,3212,1
1668,10502,0
1669,7139,0
1670,7210,0
1671,10049,1
1672,1621,0
1673,2301,0
1674,5798,1
1675,3812,1
1676,6190,1
1677,5503,0
1678,9972,0
1679,5646,0
1680,2003,1
1681,1069,0
1682,9656,1
1683,279,1
1684,4328,1
1685,7105,0
1686,1643,0
1687,3108,0
1688,3106,0
1689,1626,0
1690,9838,0
1691,6994,1
1692,3463,0
1693,781,0
1694,4337,0
1695,1639,0
1696,416,0
1697,7687,1
1698,9610,0
1699,2519,0
1700,10210,0
1701,8633,1
1702,1276,1
1703,4764,1
1704,7674,0
1705,6550,1
1706,3853,1
1707,341,0
1708,6258,0
1709,1884,1
1710,2855,0
1711,2196,0
1712,5326,1
1713,6380,0
1714,5580,0
1715,4563,0
1716,10414,1
1717,3226,1
1718,3175,1
1719,9457,0
1720,1705,0
1721,5910,0
1722,375,0
1723,10333,0
1724,3852,0
1725,1971,0
1726,8720,1
1727,1860,0
1728,10349,1
1729,4605,0
1730,7358,1
1731,8258,0
1732,5678,0
1733,694,1
1734,8482,0
1735,1924,0
1736,3716,1
1737,3282,0
1738,5746,0
1739,1518,0
1740,8741,0
1741,7630,0
1742,8276,0
1743,6939,1
1744,1435,1
1745,8157,0
1746,1041,0
1747,4478,1
1748,8307,0
1749,2094,1
1750,5916,0
1751,9848,1
1752,4803,0
1753,2147,0
1754,295,1
1755,861,0
1756,3822,0
1757,5609,1
1758,9450,0
1759,4122,0
1760,10558,0
1761,4285,0
1762,6184,1
1763,7295,0
1764,1926,1
1765,5026,0
1766,7952,1
1767,4194,0
1768,639,1
1769,2130,0
1770,3119,0
1771,3251,0
1772,5803,0
1773,9553,0
1774,5937,1
1775,2133,0
1776,693,0
1777,5944,1
1778,2227,0
1779,9915,0
1780,4044,1
1781,6033,0
1782,3270,1
1783,7050,0
1784,6185,0
1785,7984,0
1786,2109,1
1787,2244,0
1788,2481,0
1789,4332,1
1790,6016,0
1791,10162,1
1792,2453,1
1793,6228,0
1794,6166,0
1795,1411,1
1796,254,0
1797,7479,0
1798,1476,0
1799,7801,1
1800,4988,0
1801,4694,1
1802,10194,1
1803,2574,1
1804,8334,0
1805,419,0
1806,8643,1
1807,2548,0
1808,4615,1
1809,8772,0
1810,10463,1
1811,6756,0
1812,1503,1
1813,4095,0
1814,1723,1
1815,8829,0
1816,10085,0
1817,4796,0
1818,9756,0
1819,2158,0
1820,7273,0
1821,3056,0
1822,656,1
1823,3074,0
1824,4661,1
1825,3958,1
1826,4311,0
1827,8375,1
1828,7442,0
1829,3839,0
1830,6179,0
1831,3786,0
1832,8520,1
1833,3664,0
1834,2014,1
1835,8298,0
1836,4220,0
1837,10127,1
1838,6182,1
1839,3206,1
1840,8503,1
1841,5682,1
1842,5699,0
1843,6215,1
1844,1394,0
1845,9582,1
1846,10070,1
1847,4940,1
1848,4193,0
1849,3400,1
1850,4785,0
1851,7460,1
1852,5838,0
1853,2503,0
1854,2730,1
1855,7156,0
1856,5511,1
1857,438,1
1858,2233,1
1859,2016,0
1860,139,1
1861,384,0
1862,2313,0
1863,5145,1
1864,7864,0
1865,1195,1
1866,5365,0
1867,6977,0
1868,10001,0
1869,567,0
1870,9950,1
1871,157,0
1872,6553,1
1873,7337,0
1874,349,0
1875,4874,0
1876,10313,1
1877,8421,0
1878,9469,0
1879,9314,1
1880,3663,0
1881,7216,0
1882,8871,0
1883,5743,1
1884,2072,1
1885,2654,0
1886,5908,0
1887,9863,0
1888,457,0
1889,6965,0
1890,3030,0
1891,7765,0
1892,748,0
1893,6304,0
1894,9606,0
